,Address,Price,Property ID
80,Holwood Park Avenue Keston Park BR6,"£4,500,000        ",prop118685348
81,"Holwood Park Avenue, Keston Park, Orpington, Kent, BR6 8NQ","£4,500,000        ",prop118742495
82,"The Midway, Nevill Court, Tunbridge Wells, Kent","£4,450,000        ",prop113435510
83,"Manor Lane, Fawkham, Kent, DA3","£3,495,000        ",prop113062337
84,"Cudham Road, Downe, Orpington","£3,250,000        ",prop115586036
85,"Susan Wood, Chislehurst","£3,000,000        ",prop120200501
86,"The Street, Smarden, Ashford, Kent, TN27","£3,000,000        ",prop120913799
87,"French Street, Westerham, Kent, TN16","£2,750,000        ",prop119356535
88,"The Street, Frittenden, Kent, TN17 2DG","£2,500,000        ",prop120973460
89,"Royal Buildings, The Strand, Deal","£2,495,000        ",prop114994919
90,"The Esplanade, Sandgate, Kent","£2,300,000        ",prop120778427
91,"Blackham, Tunbridge Wells, East Sussex, TN3","£2,250,000        ",prop121037150
92,"Park Farm Road, Bickley, Kent, BR1","£2,250,000        ",prop120361151
93,"Crittenden Road, Matfield, Tonbridge, Kent, TN12","£2,250,000        ",prop114762893
94,"Mill Lane, Frittenden, Kent TN17 2DT","£2,250,000        ",prop121329626
95,"Clapper Lane, Staplehurst, Tonbridge, Kent, TN12","£2,200,000        ",prop119991278
96,"Halstead Lane, Knockholt, Sevenoaks, Kent, TN14","£2,150,000        ",prop120778838
97,"Milstead, Kent","£2,150,000        ",prop116309345
98,"Broadwater Down, Tunbridge Wells, Kent, TN2","£2,100,000        ",prop120746879
99,"Oakfield Lane, Keston","£2,100,000        ",prop121112762
